text,label
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
"I love this product, it is absolutely amazing and works perfectly.",Positive
This is the worst item I have ever bought. It broke on day one.,Negative
"Great quality, fast shipping, highly recommend this seller.",Positive
Terrible customer service and the product is defective.,Negative
I am so happy with this purchase! Five stars.,Positive
Do not buy this. Waste of money and time.,Negative
